SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,,,,,,,,,,,,,,,,,,,,,,,
10.25,1285071.2766770273,1146680.6585212871,1014725.276947625,1268582.5356408134,1471061.53755432,1376895.4363804087,1353209.5001142398,1357469.1301829144,1669982.712827526,1768009.2173138782,1619400.1098746099,1290274.361737743,1156236.3181775808,1513743.2988419011,1367200.4219574332,923430.31608814,1511367.4685792401,1044032.9101714343,1715030.0093144104,1298839.739079088,1050560.7582283914,1306728.7879838422,1417747.2635935992,1464490.9583755955
10.5,1209152.5210354403,1339035.1346848756,1249474.1741590872,1252458.4990319833,1418878.754250221,1424129.4002645463,1115516.8100601584,1356732.2767022178,1605638.5221497267,1585449.1686732545,1544004.5741493963,1281686.4339007065,1031493.9254158437,1627313.1898373216,1223769.3255485147,989298.0138280615,1595233.1778884083,1007907.7664242685,1811650.8017276898,1331989.944703944,1001308.2484428585,1204171.158108078,1268253.4742324948,1353254.2737173736
10.75,1540052.5343566835,1442656.748206988,935628.8740017712,1207591.238893047,1367854.8144487962,1570864.727212146,1336651.2511171699,1374693.6906198561,1599238.5419504866,1610802.1689872593,1427142.7045126446,1459778.3207928315,1213531.8495856076,1695724.0634800568,1315034.9990818799,1022882.2235426232,1540284.7286442518,1067998.992456548,1884579.7444694713,1328542.8585321829,881235.0616227686,1296873.648861371,1465296.7508967444,1503641.2242571115
11.0,1099791.5825222284,1763823.442245461,1143109.4669284374,1185354.8322037011,1303839.08198563,1430989.624699749,1121750.1059896573,1266045.0563085973,1528220.4423751906,1496392.8046543673,1461831.336019732,1197504.025692843,1230243.590076737,1743993.7373390347,1235396.0070348233,908662.6392399743,1434228.9851702452,1254604.3943218961,1556702.897767201,1481183.5367523879,912389.9216732979,1506291.3991877288,1135819.426874511,1490705.8109948635
11.25,1347953.766853854,1293022.951509826,1246371.4121467993,1223626.223720491,1169614.392580308,1229620.9231760204,1309771.110722348,1193001.0744578838,1543963.075620234,1342108.3169975728,1366930.1778213233,1334143.8079060018,1354170.4362900555,2012696.1744451895,1289586.00787016,1050414.5750874132,1471285.1666747928,1400912.4930762872,1687335.6741957143,1302379.5071591958,909676.368951343,1377092.2060611546,1430816.3111776859,1387779.1927788556
11.5,1356319.1049460396,1163854.0417369753,1172438.4125558212,1153402.561651498,1209224.2923139483,1146071.8777846023,1238272.2140744627,1468616.0583105087,1559023.4224951044,1355720.214515075,1348686.8995462954,1305365.4140713885,2004241.1247986034,1790030.2873272672,1217473.6425231695,843590.6532063633,1453829.2440689504,1056389.4547109827,1740516.5420670211,1446354.6178836152,876708.3082835674,1623019.857998535,1328274.160618946,1287420.501066409
11.75,1237081.4384748936,1965918.495807901,1179105.741640605,1149849.274628967,1096561.5308020934,1283381.3559728414,1219653.1480976269,1356591.6054181084,1398843.4994167387,1334749.497871466,1225403.1431358978,1319366.9496520162,1813966.9187000692,1646284.4725329578,1294981.0196302608,984759.9997152686,1335865.7110330015,895866.8400201574,1821353.5907770544,1481399.3019799888,868638.5425244048,1289747.0268127918,1352187.8217493445,1314475.4864850342
12.0,1418433.8109929934,1464935.615823537,1222175.9716895,1275769.5460038483,1038577.8496527299,1133282.8549812213,1185155.3256618679,1431642.9124085233,1395809.5148767978,1367560.557204403,1245958.8674464673,1234688.9823038355,1461097.7449787706,1540560.612386249,1115995.5799843967,998098.219938755,1537192.197255209,1107367.2145626768,1728096.6527418643,1490571.7044968084,901370.3179573938,1302523.617802471,1234721.0400533676,1176551.1630384251
12.25,1191210.5142686442,1751342.3100616187,1034112.618963249,1422919.9847989604,1074312.3360107392,1056025.285663113,1346714.1360753253,1271051.898391135,1330004.8473055512,1343133.5062860027,1185888.5912849754,1445547.1025225967,1632379.8503678888,1715217.8733662292,1301703.1981590837,1004620.4558268562,1449473.5693480074,894827.0779571831,1967188.8268962055,1545034.874963969,883046.0325339586,1134797.1555496156,1321698.491511047,1330386.4898631647
12.5,1454254.904607445,1378398.1807279587,1335212.9377027825,1571162.977701582,1412725.6942825913,1355465.4970854074,1467688.8193990886,1345963.0256983265,1359315.723643668,1467875.700960666,1285797.4521504715,1450682.6141071245,1199578.6186164767,1673003.7977312505,1160124.9599580392,1050035.8418222517,1354538.5370347202,1200849.0531319007,1975419.7117184028,1317591.606214419,958022.642652303,1070359.2440004647,1256023.7311166078,1183662.617769651
12.75,1078309.2908768877,1770719.3055972755,1172864.1708069071,1265594.4135759026,1432631.5655222014,1007499.5517714024,1593274.8840216398,1332208.7335468158,1446502.1425954625,1415281.9265196174,1092454.5797939375,1885357.0322841331,1483817.485110864,1590119.6759203747,1193151.1617585272,1253783.2441683412,1255370.3041877002,532610.5776746497,1954686.1983666047,1327762.3260837048,881395.8476531878,1102646.9433277845,1382977.6086075008,1167566.6186762378
13.0,1177220.3367058858,1462015.5579465479,1171068.9428356066,1047903.8393878564,1574550.6498568654,1305930.8571336046,1646583.0419297963,1279394.170317337,1483201.0699834824,1554476.898181349,1463207.2577888519,1743605.7351491675,1457802.4212039262,1434803.6975532696,1195551.4311861172,1179397.6572628543,1431288.3734782636,612765.2751337662,2047987.0002372637,1425245.6567532942,883445.9558130428,1191344.7876238972,1222614.6350578368,1204732.5188397989
13.25,1388374.3752497956,1320346.7247611135,1008177.4823141396,1299251.5759240016,1577846.2073402926,1134681.471568063,1507118.9888573065,1369858.924997829,1442597.727396205,1532476.545351185,1132094.7699611261,1599981.3131806552,1403083.5763418972,1673704.8681865185,1128362.3990620896,1174133.9954268932,1170719.1993755996,1292076.986285776,2030758.003280677,1481037.2009390518,1076076.8275635466,1050435.0090033263,1314780.8717107475,1110308.9282328933
